dataset_date,org,agency,affiliation,talent_id,name,en_name,tag,tag_norm,tag_kind,source_label,source_url,source_type,confidence,notes
2026-05-30,hololive,COVER,ホロライブ,hololive:AZKi,AZKi,AZKi,#AZKiART,azkiart,fanart,ファンアート,https://hololive.hololivepro.com/talents/azki/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:IRyS,IRyS,IRyS,#IRySart,irysart,fanart,Fan Art,https://hololist.net/irys/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:こぼ・かなえる,こぼ・かなえる,Kobo Kanaeru,#AeruSeni,aeruseni,fanart,Fan Art,https://hololist.net/kobo-kanaeru/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブ,hololive:さくらみこ,さくらみこ,Sakura Miko,#miko_Art,miko_art,fanart,ファンアート,https://hololive.hololivepro.com/talents/sakuramiko/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブ,hololive:ときのそら,ときのそら,Tokino Sora,#そらArt,そらart,fanart,ファンアート,https://hololive.hololivepro.com/talents/tokino-sora/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:アイラニ・イオフィフティーン,アイラニ・イオフィフティーン,Airani Iofifteen,#ioarts,ioarts,fanart,ファンアート,https://hololive.hololivepro.com/talents/airani-iofifteen/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブ,hololive:アキ・ローゼンタール,アキ・ローゼンタール,Aki Rosenthal,#アロ絵,アロ絵,fanart,ファンアート,https://hololive.hololivepro.com/talents/aki-rosenthal/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:アユンダ・リス,アユンダ・リス,Ayunda Risu,#GambaRisu,gambarisu,fanart,ファンアート,https://hololive.hololivepro.com/talents/ayunda-risu/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:アーニャ・メルフィッサ,アーニャ・メルフィッサ,Anya Melfissa,#anyatelier,anyatelier,fanart,ファンアート,https://hololive.hololivepro.com/talents/anya-melfissa/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:エリザベス・ローズ・ブラッドフレイム,エリザベス・ローズ・ブラッドフレイム,Elizabeth Rose Bloodflame,#BloodflameArt,bloodflameart,fanart,Fan art,https://hololist.net/elizabeth-rose-bloodflame/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:オーロ・クロニー,オーロ・クロニー,Ouro Kronii,#クロニーラ,クロニーラ,fanart,ファンアート,https://hololive.hololivepro.com/talents/ouro-kronii/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:カエラ・コヴァルスキア,カエラ・コヴァルスキア,Kaela Kovalskia,#inKaela,inkaela,fanart,Fan Art,https://hololist.net/kaela-kovalskia/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:クレイジー・オリー,クレイジー・オリー,Kureiji Ollie,#graveyART,graveyart,fanart,Fan Art,https://hololist.net/kureiji-ollie/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:シオリ・ノヴェラ,シオリ・ノヴェラ,Shiori Novella,#ShiorinSketc,shiorinsketc,fanart,Fan Art,https://hololist.net/shiori-novella/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:ジジ・ムリン,ジジ・ムリン,Gigi Murin,#rkggk,rkggk,fanart,Fan Art,https://hololist.net/gigi-murin/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:セシリア・イマーグリーン,セシリア・イマーグリーン,Cecilia Immergreen,#Immergination,immergination,fanart,Fan Art,https://hololist.net/cecilia-immergreen/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:ネリッサ・レイヴンクロフト,ネリッサ・レイヴンクロフト,Nerissa Ravencroft,#RavenCrafts,ravencrafts,fanart,Fan Art,https://hololist.net/nerissa-ravencroft/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:ハコス・ベールズ,ハコス・ベールズ,Hakos Baelz,#BaelzBrush,baelzbrush,fanart,Fan Art,https://hololive.hololivepro.com/talents/hakos-baelz/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:パヴォリア・レイネ,パヴォリア・レイネ,Pavolia Reine,#Reinessance,reinessance,fanart,ファンアート,https://hololive.hololivepro.com/talents/pavolia-reine/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:フワワ・アビスガード,フワワ・アビスガード,Fuwawa Abyssgard,#FWMCpix,fwmcpix,fanart,Fan Art,https://hololist.net/fuwawa-abyssgard/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:ベスティア・ゼータ,ベスティア・ゼータ,Vestia Zeta,#Zetacrylic,zetacrylic,fanart,Fan Art,https://hololist.net/vestia-zeta/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブインドネシア,hololive:ムーナ・ホシノヴァ,ムーナ・ホシノヴァ,Moona Hoshinova,#HoshinovArt,hoshinovart,fanart,ファンアート,https://hololive.hololivepro.com/talents/moona-hoshinova/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:モココ・アビスガード,モココ・アビスガード,Mococo Abyssgard,#FWMCpix,fwmcpix,fanart,Fan Art,https://hololist.net/mococo-abyssgard/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:ラオーラ・パンテーラ,ラオーラ・パンテーラ,Raora Panthera,#RaorArt,raorart,fanart,Fan Art,https://hololist.net/raora-panthera/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
2026-05-30,hololive,COVER,ホロライブ,hololive:ラプラス・ダークネス,ラプラス・ダークネス,La+ Darknesss,#Laplus_Artdesu,laplus_artdesu,fanart,アートタグ,https://hololive.hololivepro.com/talents/la-darknesss/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブ,hololive:ロボ子さん,ロボ子さん,Robocosan,#ロボ子Art,ロボ子art,fanart,ファンアート,https://hololive.hololivepro.com/talents/roboco-san/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:ワトソン・アメリア,ワトソン・アメリア,Watson Amelia,#ameliaRT,ameliart,fanart,ファンアート,https://hololive.hololivepro.com/talents/watson-amelia/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:一伊那尓栖,一伊那尓栖,Ninomae Ina'nis,#inART,inart,fanart,ファンアート,https://hololive.hololivepro.com/talents/ninomae-inanis/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:一伊那尓栖,一伊那尓栖,Ninomae Ina'nis,#いなート,いなート,fanart,ファンアート,https://hololive.hololivepro.com/talents/ninomae-inanis/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,hololive DEV_IS,hololive:一条莉々華,一条莉々華,Ichijou Ririka,#ririkart,ririkart,fanart,アートタグ,https://hololive.hololivepro.com/talents/ichijou-ririka/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブ,hololive:不知火フレア,不知火フレア,Shiranui Flare,#しらぬえ,しらぬえ,fanart,ファンアート,https://hololive.hololivepro.com/talents/shiranui-flare/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,hololive DEV_IS,hololive:儒烏風亭らでん,儒烏風亭らでん,Juufuutei Raden,#らでん似絵,らでん似絵,fanart,アートタグ,https://hololive.hololivepro.com/talents/juufuutei-raden/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブ,hololive:兎田ぺこら,兎田ぺこら,Usada Pekora,#ぺこらーと,ぺこらーと,fanart,ファンアート,https://hololive.hololivepro.com/talents/usada-pekora/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブ,hololive:博衣こより,博衣こより,Hakui Koyori,#こよりすけっち,こよりすけっち,fanart,ファンアートタグ,https://hololive.hololivepro.com/talents/hakui-koyori/,hololive_official_profile,1.00,
2026-05-30,hololive,COVER,ホロライブEnglish,hololive:古石ビジュー,古石ビジュー,Koseki Bijou,#bijouwled,bijouwled,fanart,Fan Art,https://hololist.net/koseki-bijou/,hololist,0.80,hololive official profile lacks fan-art hashtag; HoloList used as supplemental source
