dataset_date,org,agency,affiliation,generation,talent_id,name,en_name,slug,active_status,profile_url,official_source_url,x_url,youtube_url,source
2026-05-30,hololive,COVER,holoAN,,hololive:井月みちる,井月みちる,Izuki Michiru,izuki-michiru,active_official,https://hololive.hololivepro.com/talents/izuki-michiru/,https://hololive.hololivepro.com/talents/,,https://www.youtube.com/@holoANroom?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,holoAN,,hololive:花園さやか,花園さやか,Hanazono Sayaka,hanazono-sayaka,active_official,https://hololive.hololivepro.com/talents/hanazono-sayaka/,https://hololive.hololivepro.com/talents/,,https://www.youtube.com/@holoANroom?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,holoAN,,hololive:風白ゆき,風白ゆき,Kazeshiro Yuki,kazeshiro-yuki,active_official,https://hololive.hololivepro.com/talents/kazeshiro-yuki/,https://hololive.hololivepro.com/talents/,,https://www.youtube.com/@holoANroom?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,ReGLOSS,hololive:一条莉々華,一条莉々華,Ichijou Ririka,ichijou-ririka,active_official,https://hololive.hololivepro.com/talents/ichijou-ririka/,https://hololive.hololivepro.com/talents/,https://twitter.com/ichijouririka,https://www.youtube.com/@IchijouRirika?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,ReGLOSS,hololive:儒烏風亭らでん,儒烏風亭らでん,Juufuutei Raden,juufuutei-raden,active_official,https://hololive.hololivepro.com/talents/juufuutei-raden/,https://hololive.hololivepro.com/talents/,https://twitter.com/juufuuteiraden,https://youtube.com/@JuufuuteiRaden?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,FLOW GLOW,hololive:水宮枢,水宮枢,Mizumiya Su,mizumiya-su,active_official,https://hololive.hololivepro.com/talents/mizumiya-su/,https://hololive.hololivepro.com/talents/,https://x.com/mizumiya_su,https://www.youtube.com/channel/UCjk2nKmHzgH5Xy-C5qYRd5A?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,FLOW GLOW,hololive:綺々羅々ヴィヴィ,綺々羅々ヴィヴィ,Kikirara Vivi,kikirara-vivi,active_official,https://hololive.hololivepro.com/talents/kikirara-vivi/,https://hololive.hololivepro.com/talents/,https://x.com/kikiraravivi,https://www.youtube.com/channel/UCGzTVXqMQHa4AgJVJIVvtDQ?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,FLOW GLOW,hololive:虎金妃笑虎,虎金妃笑虎,Koganei Niko,koganei-niko,active_official,https://hololive.hololivepro.com/talents/koganei-niko/,https://hololive.hololivepro.com/talents/,https://x.com/koganeiniko,https://www.youtube.com/channel/UCuI_opAVX6qbxZY-a-AxFuQ?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,FLOW GLOW,hololive:輪堂千速,輪堂千速,Rindo Chihaya,rindo-chihaya,active_official,https://hololive.hololivepro.com/talents/rindo-chihaya/,https://hololive.hololivepro.com/talents/,https://x.com/rindochihaya,https://www.youtube.com/channel/UCKMWFR6lAstLa7Vbf5dH7ig?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,ReGLOSS,hololive:轟はじめ,轟はじめ,Todoroki Hajime,todoroki-hajime,active_official,https://hololive.hololivepro.com/talents/todoroki-hajime/,https://hololive.hololivepro.com/talents/,https://twitter.com/todoroki_hajime,https://www.youtube.com/@TodorokiHajime?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,ReGLOSS,hololive:音乃瀬奏,音乃瀬奏,Otonose Kanade,otonose-kanade,active_official,https://hololive.hololivepro.com/talents/otonose-kanade/,https://hololive.hololivepro.com/talents/,https://twitter.com/otonosekanade,https://youtube.com/@OtonoseKanade?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,hololive DEV_IS,FLOW GLOW,hololive:響咲リオナ,響咲リオナ,Isaki Riona,isaki-riona,active_official,https://hololive.hololivepro.com/talents/isaki-riona/,https://hololive.hololivepro.com/talents/,https://x.com/isakiriona,https://www.youtube.com/channel/UC9LSiN9hXI55svYEBrrK-tw?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,0期生,hololive:AZKi,AZKi,AZKi,azki,active_official,https://hololive.hololivepro.com/talents/azki/,https://hololive.hololivepro.com/talents/,https://twitter.com/AZKi_VDiVA,https://www.youtube.com/channel/UC0TXe_LYZ4scaW2XMyi5_kw?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,0期生,hololive:さくらみこ,さくらみこ,Sakura Miko,sakuramiko,active_official,https://hololive.hololivepro.com/talents/sakuramiko/,https://hololive.hololivepro.com/talents/,https://twitter.com/sakuramiko35,https://www.youtube.com/channel/UC-hM6YJuNYVAmUWxeIr9FeA?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,0期生,hololive:ときのそら,ときのそら,Tokino Sora,tokino-sora,active_official,https://hololive.hololivepro.com/talents/tokino-sora/,https://hololive.hololivepro.com/talents/,https://twitter.com/tokino_sora,https://www.youtube.com/channel/UCp6993wxpyDPHUpavwDFqgg?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,1期生,hololive:アキ・ローゼンタール,アキ・ローゼンタール,Aki Rosenthal,aki-rosenthal,active_official,https://hololive.hololivepro.com/talents/aki-rosenthal/,https://hololive.hololivepro.com/talents/,https://twitter.com/akirosenthal,https://www.youtube.com/channel/UCFTLzh12_nrtzqBPsTCqenA?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,秘密結社holoX,hololive:ラプラス・ダークネス,ラプラス・ダークネス,La+ Darknesss,la-darknesss,active_official,https://hololive.hololivepro.com/talents/la-darknesss/,https://hololive.hololivepro.com/talents/,https://twitter.com/LaplusDarknesss,https://www.youtube.com/channel/UCENwRMx5Yh42zWpzURebzTw?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,0期生,hololive:ロボ子さん,ロボ子さん,Robocosan,roboco-san,active_official,https://hololive.hololivepro.com/talents/roboco-san/,https://hololive.hololivepro.com/talents/,https://twitter.com/robocosan,https://www.youtube.com/channel/UCDqI2jOz0weumE8s7paEk6g?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,3期生,hololive:不知火フレア,不知火フレア,Shiranui Flare,shiranui-flare,active_official,https://hololive.hololivepro.com/talents/shiranui-flare/,https://hololive.hololivepro.com/talents/,https://twitter.com/shiranuiflare,https://www.youtube.com/channel/UCvInZx9h3jC2JzsIzoOebWg?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,3期生,hololive:兎田ぺこら,兎田ぺこら,Usada Pekora,usada-pekora,active_official,https://hololive.hololivepro.com/talents/usada-pekora/,https://hololive.hololivepro.com/talents/,https://twitter.com/usadapekora,https://www.youtube.com/channel/UC1DCedRgGHBdm81E1llLhOQ?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,秘密結社holoX,hololive:博衣こより,博衣こより,Hakui Koyori,hakui-koyori,active_official,https://hololive.hololivepro.com/talents/hakui-koyori/,https://hololive.hololivepro.com/talents/,https://twitter.com/hakuikoyori,https://www.youtube.com/channel/UC6eWCld0KwmyHFbAqK3V-Rw?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,1期生,hololive:夏色まつり,夏色まつり,Natsuiro Matsuri,natsuiro-matsuri,active_official,https://hololive.hololivepro.com/talents/natsuiro-matsuri/,https://hololive.hololivepro.com/talents/,https://twitter.com/natsuiromatsuri,https://youtube.com/channel/UCQ0UDLQCjY0rmuxCDE38FGg?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,ホロライブゲーマーズ,hololive:大神ミオ,大神ミオ,Ookami Mio,ookami-mio,active_official,https://hololive.hololivepro.com/talents/ookami-mio/,https://hololive.hololivepro.com/talents/,https://twitter.com/ookamimio,https://www.youtube.com/channel/UCp-5t9SrOQwXMU7iIjQfARg?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,2期生,hololive:大空スバル,大空スバル,Oozora Subaru,oozora-subaru,active_official,https://hololive.hololivepro.com/talents/oozora-subaru/,https://hololive.hololivepro.com/talents/,https://twitter.com/oozorasubaru,https://www.youtube.com/channel/UCvzGlP9oQwU--Y0r9id_jnA?sub_confirmation=1,hololive_official_talents_page
2026-05-30,hololive,COVER,ホロライブ,4期生,hololive:姫森ルーナ,姫森ルーナ,Himemori Luna,himemori-luna,active_official,https://hololive.hololivepro.com/talents/himemori-luna/,https://hololive.hololivepro.com/talents/,https://twitter.com/himemoriluna,https://www.youtube.com/channel/UCa9Y57gfeY0Zro_noHRVrnw?sub_confirmation=1,hololive_official_talents_page
